,Title,Genre,Author,Pages,Publish_Date,language,Num_Reviews,Num_Ratings,Rating
0,Ways of Seeing,art,John Berger,176.0,1990.0,English,1912,302885,3.90
1,The Story of Art,art,E.H. Gombrich,688.0,1995.0,English,1102,355674,3.95
2,The New Drawing on the Right Side of the Brain,art,Betty Edwards,291.0,1999.0,English,858,321756,3.87
3,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,art,Austin Kleon,160.0,2012.0,English,6940,238078,3.95
4,Wall and Piece,art,Banksy,240.0,2006.0,English,893,214249,3.85
5,The Artist's Way: A Spiritual Path to Higher Creativity,art,Julia Cameron,237.0,2002.0,English,3289,102075,3.92
6,Art and Fear: Observations on the Perils (and Rewards) of Artmaking,art,David Bayles,122.0,2001.0,English,1171,79099,3.75
7,Girl with a Pearl Earring,art,Tracy Chevalier,233.0,2005.0,English,10693,675556,3.91
8,The Art Book,art,Phaidon Press,515.0,1997.0,English,297,146265,3.85
9,The Letters of Vincent van Gogh,art,Vincent van Gogh,528.0,1997.0,English,454,83806,4.07
10,Concerning the Spiritual in Art,art,Wassily Kandinsky,80.0,1977.0,English,365,81181,3.83
11,Seven Days in the Art World,art,Sarah Thornton,320.0,2009.0,English,732,60606,3.61
12,The Goldfinch,art,Donna Tartt,771.0,2013.0,English,66273,800271,3.92
13,History of Beauty,art,Umberto Eco,432.0,2004.0,English,303,55948,3.82
14,On Photography,art,Susan Sontag,224.0,1979.0,English,940,42211,3.86
15,The Diary of Frida Kahlo: An Intimate Self-Portrait,art,Frida Kahlo,296.0,2005.0,English,467,41182,3.90
16,Understanding Comics: The Invisible Art,art,Scott McCloud,215.0,1993.0,English,2510,113822,3.99
17,M.C. Escher: The Graphic Work,art,M.C. Escher,92.0,2001.0,English,170,65667,3.93
18,Art Through the Ages,art,Helen Gardner,1150.0,2004.0,English,181,38788,3.83
19,The War of Art: Winning the Inner Creative Battle,art,Steven Pressfield,168.0,2003.0,English,6831,86506,3.99
20,Color: A Natural History of the Palette,art,Victoria Finlay,464.0,2003.0,English,724,65608,3.80
21,Color and Light: A Guide for the Realist Painter,art,James Gurney,224.0,2010.0,English,157,10591,4.20
22,Leonardo da Vinci,art,Walter Isaacson,600.0,2017.0,English,4819,83052,4.17
23,Vincent Van Gogh: The Complete Paintings,art,Rainer Metzger,740.0,2001.0,English,156,45107,4.12
24,The Shock of the New,art,Robert Hughes,444.0,2004.0,English,138,32503,3.73
25,Just Kids,art,Patti Smith,304.0,2010.0,English,13159,213329,4.17
26,History of Art,art,H.W. Janson,1000.0,1997.0,English,146,33381,3.80
27,Interaction of Color,art,Josef Albers,160.0,2006.0,English,168,8852,4.07
28,The Art Forger,art,Barbara A. Shapiro,355.0,2012.0,English,6681,81974,3.73
29,Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,art,Austin Kleon,215.0,2014.0,English,2924,37698,4.10
30,What Are You Looking At?: 150 Years of Modern Art in a Nutshell,art,Will Gompertz,464.0,2012.0,English,481,6832,4.23
31,The Agony and the Ecstasy,art,Irving Stone,776.0,1961.0,English,2087,85710,4.06
32,Figure Drawing for All It's Worth (How to draw and paint),art,Andrew Loomis,204.0,1971.0,English,113,17500,4.04
33,Leonardo's Notebooks,art,Leonardo da Vinci,352.0,2005.0,English,216,42231,3.95
34,The Secret Lives of Color,art,Kassia St. Clair,320.0,2017.0,English,971,7574,4.16
35,The Art Spirit,art,Robert Henri,284.0,1984.0,English,206,20768,3.90
36,Van Gogh: The Life,art,Steven Naifeh,976.0,2011.0,English,530,22206,4.09
37,Michelangelo and the Pope's Ceiling,art,Ross King,373.0,2003.0,English,723,33693,3.79
38,"An Illustrated Life: Drawing Inspiration from the Private Sketchbooks of Artists, Illustrators and Designers",art,Danny Gregory,266.0,2008.0,English,163,23964,3.68
39,Camera Lucida: Reflections on Photography,art,Roland Barthes,119.0,1982.0,English,752,56139,3.99
40,The Philosophy of Andy Warhol (From A to B and Back Again),art,Andy Warhol,272.0,1977.0,English,561,40615,3.79
41,On Ugliness,art,Umberto Eco,456.0,2007.0,English,185,18063,3.86
42,The Judgment of Paris: The Revolutionary Decade That Gave the World Impressionism,art,Ross King,464.0,2007.0,English,343,13888,3.83
43,The Dot,art,Peter H. Reynolds,32.0,2003.0,English,1857,29571,4.22
44,Faeries,art,Brian Froud,200.0,2002.0,English,299,59300,3.88
45,The Power of Art,art,Simon Schama,448.0,2006.0,English,131,16940,3.91
46,Frida: A Biography of Frida Kahlo,art,Hayden Herrera,528.0,2002.0,English,634,56064,3.97
47,Brunelleschi's Dome: How a Renaissance Genius Reinvented Architecture,art,Ross King,192.0,2001.0,English,966,24825,3.89
48,Art Matters,art,Neil Gaiman,112.0,2018.0,English,1928,13663,4.28
49,Griffin and Sabine,art,Nick Bantock,46.0,2001.0,English,1404,58371,4.01
50,The Lonely City: Adventures in the Art of Being Alone,art,Olivia Laing,336.0,2016.0,English,2430,21105,3.91
51,PostSecret: Extraordinary Confessions from Ordinary Lives (PostSecret),art,Frank Warren,278.0,2005.0,,1201,95345,3.99
52,"The Monuments Men: Allied Heroes, Nazi Thieves, and the Greatest Treasure Hunt in History",art,Robert M. Edsel,473.0,2009.0,English,3822,48515,3.78
53,Big Magic: Creative Living Beyond Fear,art,Elizabeth Gilbert,288.0,2015.0,English,14096,178189,3.94
54,The Creative Habit: Learn It and Use It for Life,art,Twyla Tharp,247.0,2006.0,English,1169,33179,4.05
55,Lust for Life,art,Irving Stone,431.0,1990.0,English,1492,25560,4.21
56,Art and Illusion: A Study in the Psychology of Pictorial Representation,art,E.H. Gombrich,412.0,2002.0,English,53,5409,4.03
57,"The Work of Art in the Age of Its Technological Reproducibility, and Other Writings on Media",art,Walter Benjamin,374.0,2008.0,English,291,19934,4.07
58,Imaginative Realism: How to Paint What Doesn't Exist,art,James Gurney,224.0,2009.0,English,78,7743,4.07
59,Keys to Drawing,art,Bert Dodson,224.0,1990.0,English,83,13505,4.04
60,The Lost Painting,art,Jonathan Harr,320.0,2006.0,English,971,29712,3.80
61,The $12 Million Stuffed Shark: The Curious Economics of Contemporary Art,art,Don Thompson,272.0,2008.0,English,257,5090,3.86
62,The Natural Way to Draw,art,Kimon Nicolaides,240.0,1990.0,English,105,48681,3.95
63,The Da Vinci Code,art,Dan Brown,489.0,2006.0,English,50040,2112850,3.88
64,Andy Goldsworthy: A Collaboration with Nature,art,Andy Goldsworthy,120.0,1990.0,English,133,40934,3.94
65,Amphigorey,art,Edward Gorey,220.0,1980.0,English,440,49915,4.04
66,In Praise of Shadows,art,Jun'ichirō Tanizaki,56.0,1977.0,English,1480,15940,4.08
67,The Hare With Amber Eyes: A Family's Century of Art and Loss,art,Edmund de Waal,368.0,2010.0,English,3379,48121,3.91
